"Munic_Dept","Poblacion_Total","AE","PP"
5088,55707100,"actG1",0.352941176470588
5088,55707100,"actG2",0.7
5088,55707100,"actG3",0.842105263157895
5088,55707100,"actG4",0.714285714285714
5088,55707100,"actG5",0.8
5088,55707100,"actG6",0.75
5088,55707100,"actG7",0
5088,55707100,"actG8",0.454545454545455
5088,55707100,"actG9",0.625
5088,55707100,"actG10",0.75
5088,55707100,"actG11",1
8001,131016300,"actG1",0.578947368421053
8001,131016300,"actG2",0.55
8001,131016300,"actG3",0.882352941176471
8001,131016300,"actG4",0.25
8001,131016300,"actG5",0.5
8001,131016300,"actG6",0.8
8001,131016300,"actG7",1
8001,131016300,"actG8",0.684210526315789
8001,131016300,"actG9",0.727272727272727
8001,131016300,"actG10",0.631578947368421
8001,131016300,"actG11",0.818181818181818
11001,787331600,"actG1",0.705882352941177
11001,787331600,"actG2",0.739130434782609
11001,787331600,"actG3",0.5
11001,787331600,"actG4",0.571428571428571
11001,787331600,"actG5",0.769230769230769
11001,787331600,"actG6",0.846153846153846
11001,787331600,"actG7",1
11001,787331600,"actG8",0.8
11001,787331600,"actG9",0.666666666666667
11001,787331600,"actG10",0.4375
11001,787331600,"actG11",0.625
25307,11548200,"actG1",0.288461538461538
25307,11548200,"actG2",0.633333333333333
25307,11548200,"actG3",0.777777777777778
25307,11548200,"actG4",0
25307,11548200,"actG5",0
25307,11548200,"actG6",0.916666666666667
25307,11548200,"actG7",0.636363636363636
25307,11548200,"actG8",0
25307,11548200,"actG9",0.714285714285714
25307,11548200,"actG10",0.75
25307,11548200,"actG11",0.5
25754,75811300,"actG1",0.25
25754,75811300,"actG2",0.541666666666667
25754,75811300,"actG3",0.833333333333333
25754,75811300,"actG4",0.875
25754,75811300,"actG5",0.75
25754,75811300,"actG6",0.6875
25754,75811300,"actG7",1
25754,75811300,"actG8",0.866666666666667
25754,75811300,"actG9",0.666666666666667
25754,75811300,"actG10",0.818181818181818
25754,75811300,"actG11",0.5
25899,15050700,"actG1",0.857142857142857
25899,15050700,"actG2",0.769230769230769
25899,15050700,"actG3",0.75
25899,15050700,"actG4",0.666666666666667
25899,15050700,"actG5",0.7
25899,15050700,"actG6",1
25899,15050700,"actG7",1
25899,15050700,"actG8",0.733333333333333
25899,15050700,"actG9",1
25899,15050700,"actG10",0.9
25899,15050700,"actG11",0
41001,37566000,"actG1",0.222222222222222
41001,37566000,"actG2",0.363636363636364
41001,37566000,"actG3",1
41001,37566000,"actG4",1
41001,37566000,"actG5",0.9375
41001,37566000,"actG6",1
41001,37566000,"actG7",1
41001,37566000,"actG8",0.941176470588235
41001,37566000,"actG9",1
41001,37566000,"actG10",0.645161290322581
41001,37566000,"actG11",0.625
66001,48073900,"actG1",0.48
66001,48073900,"actG2",0.631578947368421
66001,48073900,"actG3",0.666666666666667
66001,48073900,"actG4",0.666666666666667
66001,48073900,"actG5",0.6
66001,48073900,"actG6",0.666666666666667
66001,48073900,"actG7",0.666666666666667
66001,48073900,"actG8",1
66001,48073900,"actG9",1
66001,48073900,"actG10",0.571428571428571
66001,48073900,"actG11",0
68001,61012500,"actG1",0.285714285714286
68001,61012500,"actG2",0.6
68001,61012500,"actG3",0.9
68001,61012500,"actG4",0.952380952380952
68001,61012500,"actG5",0.8
68001,61012500,"actG6",0.875
68001,61012500,"actG7",0.571428571428571
68001,61012500,"actG8",0.75
68001,61012500,"actG9",1
68001,61012500,"actG10",0.846153846153846
68001,61012500,"actG11",1
73001,53974500,"actG1",0.307692307692308
73001,53974500,"actG2",0.5
73001,53974500,"actG3",0.8
73001,53974500,"actG4",0.111111111111111
73001,53974500,"actG5",0.5
73001,53974500,"actG6",0.444444444444444
73001,53974500,"actG7",0.8
73001,53974500,"actG8",0.333333333333333
73001,53974500,"actG9",0.857142857142857
73001,53974500,"actG10",0.666666666666667
73001,53974500,"actG11",0.666666666666667
